station,date,datatype,value,attributes
GHCND:US1ORCK0001,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORCK0001,2023-01-01T00:00:00,SNWD,1.0,",,N,0700"
GHCND:US1ORCK0010,2023-01-01T00:00:00,PRCP,0.0,"T,,N,0700"
GHCND:US1ORCK0010,2023-01-01T00:00:00,SNOW,0.0,"T,,N,0700"
GHCND:US1ORCK0012,2023-01-01T00:00:00,PRCP,0.0,",,N,0700"
GHCND:US1ORCK0012,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORCK0013,2023-01-01T00:00:00,PRCP,0.0,",,N,0700"
GHCND:US1ORCK0013,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORCK0013,2023-01-01T00:00:00,SNWD,0.0,",,N,0700"
GHCND:US1ORCS0007,2023-01-01T00:00:00,PRCP,0.0,",,N,0700"
GHCND:US1ORCS0007,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORCS0011,2023-01-01T00:00:00,PRCP,0.0,",,N,0630"
GHCND:US1ORCS0011,2023-01-01T00:00:00,SNOW,0.0,",,N,0630"
GHCND:US1ORCS0014,2023-01-01T00:00:00,PRCP,0.03,",,N,0700"
GHCND:US1ORCS0017,2023-01-01T00:00:00,PRCP,0.01,",,N,0700"
GHCND:US1ORCS0022,2023-01-01T00:00:00,PRCP,0.01,",,N,0800"
GHCND:US1ORCS0024,2023-01-01T00:00:00,PRCP,0.02,",,N,0700"
GHCND:US1ORCS0026,2023-01-01T00:00:00,PRCP,0.02,",,N,0700"
GHCND:US1ORCS0026,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORCS0026,2023-01-01T00:00:00,SNWD,0.0,",,N,0700"
GHCND:US1ORCS0029,2023-01-01T00:00:00,PRCP,0.0,",,N,0800"
GHCND:US1ORCS0029,2023-01-01T00:00:00,SNOW,0.0,",,N,0800"
GHCND:US1ORCS0030,2023-01-01T00:00:00,PRCP,0.0,",,N,0700"
GHCND:US1ORCS0030,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORCS0031,2023-01-01T00:00:00,PRCP,0.01,",,N,0800"
GHCND:US1ORCS0032,2023-01-01T00:00:00,PRCP,0.02,",,N,0730"
GHCND:US1ORCT0020,2023-01-01T00:00:00,PRCP,0.16,",,N,0800"
GHCND:US1ORCT0021,2023-01-01T00:00:00,DAPR,10,",,N,0700"
GHCND:US1ORCT0021,2023-01-01T00:00:00,MDPR,9.0,",,N,0700"
GHCND:US1ORCY0001,2023-01-01T00:00:00,PRCP,0.0,",,N,0700"
GHCND:US1ORCY0001,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORCY0001,2023-01-01T00:00:00,SNWD,0.0,",,N,0700"
GHCND:US1ORCY0014,2023-01-01T00:00:00,PRCP,0.0,",,N,0700"
GHCND:US1ORCY0014,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORCY0015,2023-01-01T00:00:00,PRCP,0.0,",,N,0800"
GHCND:US1ORCY0015,2023-01-01T00:00:00,SNOW,0.0,",,N,0800"
GHCND:US1ORCY0016,2023-01-01T00:00:00,PRCP,0.0,",,N,0800"
GHCND:US1ORCY0016,2023-01-01T00:00:00,SNOW,0.0,",,N,0800"
GHCND:US1ORCY0018,2023-01-01T00:00:00,PRCP,0.02,",,N,0700"
GHCND:US1ORCY0020,2023-01-01T00:00:00,PRCP,0.03,",,N,0700"
GHCND:US1ORCY0025,2023-01-01T00:00:00,PRCP,0.02,",,N,0700"
GHCND:US1ORDG0003,2023-01-01T00:00:00,PRCP,0.0,",,N,0700"
GHCND:US1ORDG0003,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORDG0010,2023-01-01T00:00:00,PRCP,0.03,",,N,0712"
GHCND:US1ORDG0012,2023-01-01T00:00:00,PRCP,0.03,",,N,0700"
GHCND:US1ORDG0012,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORDG0012,2023-01-01T00:00:00,SNWD,0.0,",,N,0700"
GHCND:US1ORDG0022,2023-01-01T00:00:00,PRCP,0.03,",,N,0700"
GHCND:US1ORDG0026,2023-01-01T00:00:00,PRCP,0.03,",,N,0700"
GHCND:US1ORDG0027,2023-01-01T00:00:00,PRCP,0.02,",,N,0800"
GHCND:US1ORDG0030,2023-01-01T00:00:00,PRCP,0.0,",,N,0800"
GHCND:US1ORDG0030,2023-01-01T00:00:00,SNOW,0.0,",,N,0800"
GHCND:US1ORDG0033,2023-01-01T00:00:00,PRCP,0.06,",,N,0700"
